EE120_SBA1M300001E_EBOM_V01,,,,,,,,
,,,,,,,,
PCBA:  ,SBA1M300001E,ICS:,01,eBOM Ver:,1,,,
Item,Part Number,Part Name,MPN,SUPPLIER,Description,QTY,Ref Designator,Sort
82,ACA91HHA04CX,ACA91HHA04C2,LQP03TG9N1H02D,MURATA,"电感,Inductor,9.1 nH,±3 %,DCR=1.4 ohm,200 mA,0201,Film,0.63×0.33×0.33 mm,LQP03TG9N1H02D,MURATA",2,"L4250,L4323",Inductor
83,ACA10THA05CX,ACA10THA05C2,LQP03TG10NH02D,MURATA,"电感,Inductor,10 nH,±3 %,DCR=1.52 ohm,190 mA,0201,Film,0.63×0.33×0.33 mm,LQP03TG10NH02D,MURATA",1,L4201,
84,ACA12TJAA4CX,ACA12TJAA4C4,SDCL0603Q12NJT02B02,SUNLORD,"电感,Inductor,12 nH,±5 %,DCR=1.42 ohm,180 mA,0201,MultiLayer,0.65×0.35×0.35 mm,SDCL0603Q12NJT02B02,SUNLORD",3,"L4246,L4239,L4427",Inductor
85,ACA15THA05CX,ACA15THA05C2,LQP03TG15NH02D,MURATA,"电感,Inductor,15 nH,±3 %,DCR=1.9 ohm,170 mA,0201,Film,N/A,LQP03TG15NH02D,MURATA",1,L4224,
86,ACA22THA06CX,ACA22THA06C2,LQP03TG22NH02D,MURATA,"电感,Inductor,22 nH,±3 %,DCR=2.85 ohm,140 mA,0201,Film,0.63×0.33×0.33 mm,LQP03TG22NH02D,MURATA",2,"L4260,L4441",Inductor
87,ACB010M9BLCX,ACB010M9BLCF,MPIA201610-1R0M-LF,MICROGATE,"功率电感,Power Inductor,1 uH,±20 %,DCR=0.075 ohm,3150 mA,N/A,2400 mA,Wire-Wound,N/A,2.2×1.8×1.05 mm,MPIA201610-1R0M-LF,MICROGATE",5,"L3401,L3301,L3303,L3305,L5901",Power Inductor
87A,#ACB010M9A3CX,ACB010M9A3CG,MP201610S1R0MFR,ICT,"Power Inductor,1uH,±20%,0.058 ohm,SMD,3200 mA,3000 mA,MultiLayer,2.2×1.8×1.00 mm,MP201610S1R0MFR,ICT",5,"L3401,L3301,L3303,L3305,L5901",Power Inductor
88,ACB15FM9A7CX,ACB15FM9B6C4,SPH252012H1R5MT,SUNLORD,"功率电感,Power Inductor,1.5 uH,±20 %,DCR=0.065 ohm,2350 mA,N/A,2100 mA,Wire-Wound,1008,2.7×2.2×1.2 mm,SPH252012H1R5MT,SUNLORD",1,L4501,Power Inductor
89,ACB22FM9BACX,ACB22FM9BAC4,WPN201610H2R2MT,SUNLORD,"功率电感,Power Inductor,2.2 uH,±20 %,DCR=0.142 ohm,2150 mA,39 MHz,1700 mA,Wire-Wound,N/A,2.2×1.8×1.0 mm,WPN201610H2R2MT,SUNLORD",3,"L4701,L3302,L3304",Power Inductor
89A,#ACB22FM9A9CX,ACB22FM9A9CG,MP201610S2R2MFR,ICT,"Power Inductor,2.2 uH,±20%,0.135 ohm,SMD,2200 mA,1M Hz,2300 mA,MultiLayer,2.0×1.6 mm,MP201610S2R2MFR,ICT",3,"L4701,L3302,L3304",Power Inductor
